City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_temp,Wind_speed
ajaccio,0,FR,1586207554,76,42.0,8.92,12.0,3.1
udachnyy,88,RU,1586207554,46,66.42,112.4,-2.0,3.0
manaure,75,CO,1586207554,79,11.78,-72.44,29.0,4.1
coihaique,75,CL,1586207339,53,-45.58,-72.07,11.0,2.6
teo,75,ES,1586207554,82,42.75,-8.5,15.56,1.0
dhidhdhoo,7,MV,1586207433,69,6.88,73.1,29.06,1.48
seoul,75,KR,1586207402,87,37.57,126.98,6.0,1.72
taltal,9,CL,1586207554,61,-25.4,-70.48,21.99,1.73
kjollefjord,20,NO,1586207554,79,70.95,27.35,-1.0,8.7
seguela,100,CI,1586207554,79,7.96,-6.67,22.98,5.11
viedma,28,AR,1586207555,36,-40.81,-63.0,14.44,5.29
mountain home,75,US,1586207555,54,43.13,-115.69,14.0,1.5
adelaide,75,AU,1586207367,77,-34.93,138.6,16.11,1.22
saint george,40,US,1586207470,31,37.1,-113.58,18.33,6.2
rothes,20,GB,1586207555,75,57.53,-3.21,7.22,5.1
batticaloa,50,LK,1586207555,80,7.71,81.69,26.08,0.95
sao felix do xingu,93,BR,1586207555,84,-6.64,-51.99,27.09,1.06
lvov,0,UA,1586207420,51,49.84,24.02,4.0,3.0
hambantota,30,LK,1586207555,80,6.12,81.12,26.66,2.49
oromocto,1,CA,1586207349,19,45.84,-66.48,10.0,8.2
isla mujeres,75,MX,1586207555,66,21.23,-86.73,30.0,5.1
amahai,25,ID,1586207555,79,-3.33,128.92,25.9,1.74
college,90,US,1586207556,61,64.86,-147.8,-8.0,7.2
mayo,1,US,1586207556,24,38.89,-76.51,22.0,3.1
naryan-mar,84,RU,1586207556,94,67.67,53.09,-9.36,5.06
sao francisco,68,BR,1586207556,77,-15.95,-44.86,24.87,1.37
asfi,24,MA,1586207556,80,32.3,-9.24,17.87,5.02
maltahohe,4,NA,1586207556,17,-24.83,16.98,17.5,2.79
eydhafushi,52,MV,1586207396,58,5.1,73.07,29.37,1.73
malanje,90,AO,1586207556,69,-9.54,16.34,19.5,1.06
la romana,40,DO,1586207556,83,18.43,-68.97,28.0,6.2
cocal,100,BR,1586207556,88,-28.62,-49.35,19.53,0.37
mana,83,GF,1586207556,76,5.66,-53.78,27.35,4.86
ilulissat,91,GL,1586207557,43,69.22,-51.1,-9.0,5.1
zhigansk,100,RU,1586207557,97,66.77,123.37,-0.05,5.54
payo,100,ID,1586207557,88,-3.75,103.64,22.87,0.91
poya,84,NC,1586207557,75,-21.35,165.15,25.07,4.83
epe,97,NG,1586207557,83,6.58,3.98,27.87,2.75
itarema,99,BR,1586207334,86,-2.92,-39.92,26.84,3.05
dalvik,75,IS,1586207557,51,65.97,-18.53,2.0,22.6
clovis,90,US,1586207555,76,36.83,-119.7,16.67,3.6
neuquen,0,AR,1586207497,25,-38.95,-68.06,18.0,3.1
noumea,100,NC,1586207335,73,-22.28,166.46,25.0,0.5
khonsa,54,IN,1586207558,35,27.02,95.57,17.05,1.89
ossora,70,RU,1586207558,91,59.24,163.07,-6.82,1.45
kruisfontein,90,ZA,1586207336,67,-34.0,24.73,12.58,9.25
manta,40,EC,1586207457,74,-0.95,-80.73,29.0,2.6
katsuura,75,JP,1586207558,64,35.13,140.3,10.0,4.1
chany,2,RU,1586207558,87,55.31,76.76,0.98,3.91
mani,91,CO,1586207558,54,4.82,-72.29,31.92,2.5
chifeng,0,CN,1586207558,51,42.27,118.96,0.94,4.47
coos bay,90,US,1586207558,87,43.37,-124.22,12.22,4.66
cozumel,40,MX,1586207559,66,20.51,-86.95,30.56,6.2
marawi,33,PH,1586207559,72,8.0,124.29,19.1,1.05
maraba,75,BR,1586207418,59,-5.37,-49.12,33.0,1.5
hovd,78,MN,1586207559,42,48.01,91.64,0.96,0.81
naze,90,JP,1586207559,87,28.37,129.48,15.0,0.5
north platte,1,US,1586207559,40,41.12,-100.77,23.89,1.5
tateyama,75,JP,1586207559,57,34.98,139.87,10.0,4.1
lake charles,90,US,1586207336,94,30.21,-93.2,24.0,2.1
portobelo,40,PA,1586207559,46,9.55,-79.65,34.44,7.7
eastlake,1,US,1586207399,38,41.65,-81.45,18.33,3.6
atasu,100,KZ,1586207395,59,48.68,71.64,7.32,4.6
solnechnyy,100,RU,1586207560,92,50.72,136.63,-3.84,6.02
tingo maria,40,PE,1586207560,74,-9.29,-76.01,28.0,2.6
vitim,0,RU,1586207560,95,59.45,112.56,-4.43,1.43
beringovskiy,0,RU,1586207560,85,63.05,179.32,-15.99,1.87
praia da vitoria,75,PT,1586207560,88,38.73,-27.07,18.0,7.38
saint-joseph,20,RE,1586207560,69,-21.37,55.62,24.0,2.1
rockingham,20,US,1586207560,11,42.97,-71.1,17.22,5.7
funadhoo,6,MV,1586207560,64,6.15,73.27,29.29,1.55
rafraf,20,TN,1586207560,87,37.19,10.18,12.0,1.5
sahuaripa,100,MX,1586207561,15,29.05,-109.23,28.94,6.1
pacific grove,75,US,1586207561,76,36.62,-121.92,11.67,3.6
ozu,96,JP,1586207561,53,33.5,132.55,7.78,0.89
wuwei,100,CN,1586207561,35,37.93,102.64,10.0,3.95
kaeo,30,NZ,1586207561,94,-35.1,173.78,17.22,0.45
general roca,0,AR,1586207561,25,-39.03,-67.58,18.0,3.1
tamworth,0,GB,1586207561,61,52.63,-1.7,9.44,4.6
simao,0,CN,1586207561,32,22.79,100.97,13.44,0.4
korla,28,CN,1586207561,26,41.76,86.15,12.55,0.4
fonte boa,100,BR,1586207562,82,-2.5,-66.27,26.47,0.67
broken hill,34,AU,1586207562,66,-31.95,141.43,13.0,4.1
newcastle,40,AU,1586207438,93,-32.93,151.78,16.11,4.6
diapaga,6,BF,1586207562,11,12.07,1.79,33.24,1.19
roald,100,NO,1586207562,66,62.58,6.13,10.0,5.1
bosaso,0,SO,1586207562,62,11.28,49.18,27.75,2.49
xai-xai,0,MZ,1586207562,52,-25.05,33.64,24.33,3.81
hami,48,CN,1586207563,25,42.8,93.45,12.41,0.97
panama city,40,PA,1586207757,55,8.99,-79.52,34.44,5.1
ust-tarka,2,RU,1586207563,86,55.57,75.7,1.3,4.23
labrea,100,BR,1586207563,88,-7.26,-64.8,28.09,0.86
mount gambier,90,AU,1586207392,93,-37.83,140.77,10.0,0.86
suntar,96,RU,1586207563,97,62.14,117.63,-1.51,2.18
tete,20,MZ,1586207563,57,-16.16,33.59,27.0,2.1
denpasar,40,ID,1586207563,100,-8.65,115.22,26.0,0.5
havelock,20,US,1586207460,64,34.88,-76.9,24.0,4.6
fairbanks,90,US,1586207564,66,64.84,-147.72,-8.89,8.7
petropavlovsk-kamchatskiy,99,RU,1586207514,63,53.05,158.65,-3.0,1.57
salinopolis,100,BR,1586207564,86,-0.61,-47.36,28.03,5.77
zunyi,100,CN,1586207564,67,27.69,106.91,9.15,0.75
marshall,1,US,1586207564,30,34.38,-86.33,28.0,4.1
parfino,50,RU,1586207564,93,57.97,31.65,2.03,1.96
anloga,0,GH,1586207564,83,5.79,0.9,28.05,3.91
scarborough,0,GB,1586207564,65,54.28,-0.4,9.44,1.5
del rio,20,US,1586207565,73,29.36,-100.9,23.0,3.6
vila velha,75,BR,1586207565,78,-20.33,-40.29,26.0,5.1
taksimo,52,RU,1586207565,80,56.34,114.88,-5.08,1.09
buriti alegre,8,BR,1586207565,67,-18.14,-49.04,24.58,0.77
sangar,99,RU,1586207396,95,63.92,127.47,-9.59,2.06
west bay,20,KY,1586207566,70,19.37,-81.42,30.0,3.6
falun,39,SE,1586207566,52,60.6,15.63,8.0,4.1
